index;clicked
0;yes
1;no
2;yes
3;yes
4;yes
5;yes
6;no
7;yes
8;no
9;yes
10;no
11;yes
12;no
13;no
14;no
15;yes
16;no
17;yes
18;no
19;yes
20;yes
21;yes
22;yes
23;no
24;yes
25;yes
26;yes
27;no
28;no
29;yes
30;no
31;no
32;yes
33;no
34;no
35;no
36;yes
37;no
38;no
39;yes
40;yes
41;no
42;yes
43;yes
44;no
45;yes
46;no
47;yes
48;yes
49;yes
50;no
51;no
52;yes
53;yes
54;no
55;no
56;yes
57;yes
58;no
59;no
60;no
61;no
62;no
63;no
64;yes
65;no
66;no
67;yes
68;no
69;yes
70;yes
71;yes
72;yes
73;yes
74;yes
75;yes
76;yes
77;yes
78;no
79;yes
80;yes
81;no
82;yes
83;no
84;yes
85;no
86;no
87;no
88;no
89;no
90;yes
91;yes
92;yes
93;no
94;yes
95;no
96;no
97;yes
98;yes
99;no
