index;clicked
0;yes
1;yes
2;no
3;no
4;no
5;no
6;no
7;no
8;yes
9;yes
10;yes
11;no
12;no
13;no
14;yes
15;yes
16;no
17;no
18;no
19;no
20;no
21;no
22;no
23;yes
24;no
25;no
26;no
27;no
28;yes
29;no
30;no
31;no
32;no
33;no
34;no
35;no
36;no
37;no
38;no
39;no
40;yes
41;yes
42;yes
43;no
44;no
45;yes
46;yes
47;no
48;no
49;yes
50;no
51;no
52;yes
53;no
54;no
55;no
56;yes
57;no
58;no
59;yes
60;no
61;yes
62;yes
63;no
64;no
65;no
66;no
67;yes
68;no
69;no
70;no
71;no
72;no
73;yes
74;no
75;no
76;no
77;no
78;no
79;yes
80;no
81;yes
82;yes
83;yes
84;yes
85;no
86;no
87;yes
88;yes
89;no
90;yes
91;no
92;no
93;no
94;no
95;yes
96;no
97;no
98;no
99;no
