index; tempo(s)
0;5
1;55
2;13
3;114
4;138
5;116
6;9
7;98
8;30
9;31
10;41
11;0
12;73
13;31
14;9
15;78
16;71
17;54
18;21
19;12
20;53
21;24
22;23
23;1
24;53
25;165
26;63
27;36
28;184
29;55
30;10
31;128
32;13
33;51
34;58
35;1
36;45
37;122
38;60
39;48
40;17
41;47
42;218
43;32
44;21
45;74
46;123
47;16
48;41
49;117
50;42
51;22
52;104
53;18
54;9
55;10
56;25
57;154
58;177
59;320
60;5
61;198
62;82
63;47
64;90
65;269
66;176
67;47
68;30
69;30
70;2
71;60
72;93
73;52
74;212
75;44
76;72
77;68
78;78
79;39
80;135
81;42
82;127
83;104
84;2
85;48
86;153
87;59
88;21
89;17
90;20
91;32
92;12
93;137
94;13
95;246
96;2
97;45
98;9
99;25
100;10
101;20
102;61
103;8
104;150
105;14
106;63
107;17
108;29
109;23
110;0
111;40
112;192
113;41
114;60
115;31
116;122
117;144
118;2
119;2
120;49
121;15
122;27
123;19
124;24
125;8
126;20
127;12
128;74
129;55
130;20
131;61
132;10
133;0
134;1
135;0
136;259
137;1
138;140
139;123
140;15
141;79
142;23
143;28
144;49
145;95
146;71
147;136
148;29
149;4
150;32
151;59
152;130
153;37
154;1
155;37
156;10
157;230
158;24
159;0
160;33
161;0
162;47
163;46
164;28
165;53
166;175
167;55
168;8
169;161
170;22
171;21
172;190
173;23
174;252
175;83
176;45
177;205
178;97
179;44
180;1
181;145
182;67
183;70
184;206
185;112
186;13
187;69
188;66
189;59
190;112
191;91
192;121
193;31
194;11
195;66
196;156
197;131
198;45
199;72
200;11
201;282
202;198
203;7
204;3
205;12
206;80
207;13
208;30
209;19
210;169
211;200
212;10
213;32
214;90
215;13
216;101
217;6
218;2
219;47
220;51
221;60
222;101
223;6
224;14
225;131
226;134
227;64
228;68
229;55
230;98
231;64
232;294
233;15
234;3
235;274
236;13
237;13
238;85
239;67
240;79
241;265
242;173
243;40
244;190
245;8
246;12
247;64
248;43
249;569
250;102
251;33
252;7
253;59
254;68
255;42
256;42
257;30
258;26
259;51
260;67
261;32
262;79
263;99
264;1
265;35
266;290
267;31
268;13
269;2
270;2
271;14
272;215
273;63
274;25
275;19
276;36
277;37
278;47
279;81
280;79
281;117
282;39
283;19
284;69
285;273
286;1
287;66
288;32
289;49
290;44
291;14
292;184
293;295
294;27
295;75
296;1
297;47
298;29
299;15
300;24
301;99
302;155
303;49
304;26
305;77
306;83
307;34
308;28
309;91
310;155
311;52
312;30
313;107
314;243
315;44
316;40
317;18
318;42
319;25
320;42
321;9
322;83
323;61
324;6
325;86
326;4
327;180
328;50
329;90
330;21
331;46
332;15
333;27
334;121
335;37
336;70
337;102
338;105
339;32
340;133
341;104
342;75
343;14
344;0
345;14
346;33
347;42
348;132
349;63
350;47
351;38
352;19
353;8
354;15
355;41
356;262
357;111
358;176
359;12
360;97
361;36
362;9
363;221
364;36
365;41
366;144
367;13
368;93
369;16
370;33
371;118
372;13
373;43
374;70
375;49
376;79
377;7
378;11
379;43
380;69
381;10
382;27
383;163
384;23
385;78
386;59
387;12
388;55
389;43
390;9
391;59
392;157
393;210
394;26
395;75
396;127
397;51
398;1
399;93
400;27
401;32
402;0
403;78
404;40
405;4
406;15
407;2
408;61
409;51
410;38
411;23
412;66
413;68
414;31
415;75
416;0
417;7
418;135
419;228
420;51
421;196
422;27
423;42
424;20
425;31
426;79
427;133
428;0
429;6
430;11
431;1
432;22
433;198
434;212
435;225
436;126
437;14
438;204
439;7
440;55
441;4
442;9
443;77
444;121
445;61
446;13
447;16
448;19
449;23
450;79
451;184
452;143
453;39
454;215
455;7
456;23
457;83
458;246
459;15
460;14
461;41
462;118
463;1
464;204
465;14
466;8
467;205
468;107
469;108
470;82
471;173
472;106
473;8
474;51
475;7
476;178
477;24
478;54
479;13
480;52
481;23
482;65
483;18
484;37
485;24
486;1
487;116
488;34
489;60
490;18
491;17
492;11
493;135
494;37
495;44
496;183
497;12
498;41
499;93
500;17
501;194
502;6
503;52
504;2
505;24
506;146
507;44
508;112
509;31
510;107
511;15
512;8
513;88
514;54
515;6
516;41
517;80
518;4
519;52
520;17
521;79
522;37
523;27
524;117
525;55
526;26
527;2
528;0
529;5
530;142
531;38
532;157
533;4
534;248
535;11
536;76
537;2
538;61
539;37
540;131
541;143
542;29
543;63
544;86
545;41
546;11
547;35
548;53
549;59
550;49
551;2
552;119
553;28
554;44
555;28
556;15
557;19
558;110
559;49
560;5
561;3
562;6
563;80
564;4
565;16
566;18
567;143
568;0
569;19
570;109
571;52
572;18
573;100
574;79
575;169
576;3
577;153
578;16
579;35
580;16
581;27
582;2
583;29
584;88
585;4
586;12
587;13
588;6
589;14
590;91
591;64
592;142
593;25
594;11
595;62
596;19
597;1
598;49
599;101
600;56
601;17
602;56
603;72
604;57
605;222
606;154
607;123
608;38
609;50
610;42
611;35
612;45
613;18
614;17
615;10
616;108
617;13
618;5
619;190
620;20
621;50
622;141
623;126
624;41
625;19
626;26
627;109
628;38
629;11
630;6
631;83
632;0
633;23
634;26
635;10
636;24
637;2
638;9
639;17
640;89
641;211
642;7
643;41
644;175
645;169
646;123
647;126
648;60
649;86
650;45
651;30
652;26
653;34
654;35
655;236
656;83
657;55
658;54
659;147
660;131
661;46
662;29
663;32
664;8
665;83
666;162
667;111
668;143
669;128
670;71
671;10
672;126
673;23
674;108
675;1
676;11
677;43
678;78
679;282
680;11
681;138
682;2
683;202
684;60
685;13
686;40
687;10
688;71
689;70
690;27
691;30
692;106
693;124
694;81
695;153
696;6
697;169
698;69
699;61
700;27
701;130
702;66
703;8
704;263
705;29
706;14
707;26
708;236
709;74
710;14
711;26
712;51
713;23
714;51
715;27
716;3
717;129
718;3
719;20
720;195
721;14
722;28
723;9
724;61
725;29
726;209
727;59
728;106
729;3
730;15
731;51
732;123
733;20
734;117
735;101
736;33
737;35
738;6
739;190
740;10
741;156
742;22
743;119
744;150
745;134
746;60
747;8
748;14
749;43
750;11
751;48
752;125
753;16
754;4
755;168
756;29
757;81
758;6
759;32
760;55
761;1
762;43
763;28
764;63
765;25
766;35
767;106
768;31
769;36
770;79
771;96
772;29
773;12
774;126
775;71
776;27
777;24
778;157
779;159
780;101
781;22
782;221
783;0
784;40
785;130
786;96
787;64
788;46
789;19
790;46
791;223
792;52
793;78
794;27
795;75
796;35
797;76
798;26
799;9
800;143
801;12
802;14
803;3
804;8
805;34
806;1
807;97
808;13
809;10
810;87
811;33
812;72
813;74
814;20
815;107
816;35
817;33
818;22
819;41
820;19
821;2
822;33
823;28
824;88
825;112
826;155
827;3
828;50
829;89
830;25
831;53
832;98
833;32
834;74
835;15
836;141
837;35
838;76
839;27
840;51
841;111
842;84
843;18
844;164
845;35
846;106
847;141
848;116
849;41
850;7
851;50
852;29
853;207
854;179
855;163
856;68
857;56
858;62
859;9
860;5
861;0
862;32
863;13
864;229
865;70
866;31
867;62
868;16
869;22
870;94
871;81
872;27
873;15
874;94
875;62
876;10
877;50
878;143
879;141
880;23
881;51
882;40
883;140
884;7
885;3
886;40
887;52
888;79
889;34
890;97
891;51
892;17
893;12
894;110
895;74
896;120
897;2
898;23
899;6
900;4
901;63
902;18
903;29
904;7
905;19
906;170
907;74
908;161
909;108
910;37
911;56
912;237
913;18
914;29
915;73
916;66
917;63
918;13
919;45
920;247
921;121
922;24
923;75
924;270
925;37
926;215
927;204
928;7
929;23
930;49
931;48
932;26
933;96
934;10
935;5
936;6
937;28
938;4
939;148
940;24
941;193
942;42
943;70
944;170
945;158
946;68
947;38
948;35
949;125
950;15
951;182
952;9
953;6
954;137
955;50
956;4
957;10
958;152
959;113
960;49
961;50
962;30
963;105
964;162
965;78
966;26
967;11
968;61
969;9
970;4
971;50
972;83
973;17
974;110
975;124
976;52
977;27
978;135
979;80
980;20
981;108
982;16
983;143
984;22
985;7
986;62
987;73
988;12
989;64
990;0
991;68
992;110
993;58
994;133
995;44
996;24
997;106
998;13
999;55
